target_lang,aux_lang,limit,auc,f1
surzhyk,russian,1000,0.848433048433048,0.579439252336449
turkish,russian,1000,0.751000680161553,0.395509499136442
portuguese,russian,1000,0.875502189455678,0.483516483516483
latvian,russian,1000,0.606783368769194,0.012919896640827
italian,russian,1000,0.875502189455678,0.483516483516483
greek,russian,1000,0.751000680161553,0.395509499136442
german,russian,1000,0.751000680161553,0.395509499136442
estonian,russian,1000,0.606783368769194,0.012919896640827
danish,russian,1000,0.751000680161553,0.395509499136442
albanian,russian,1000,0.751000680161553,0.395509499136442
arabic,russian,1000,0.812120631269567,0.541353383458646
english,russian,1000,0.875502189455678,0.483516483516483
chinese,russian,1000,0.751000680161553,0.395509499136442
chinese,-,1000,0.736912407631453,0
hindi,chinese,1000,0.873639495732519,0.398921832884097
surzhyk,chinese,1000,0.835099715099715,0.614173228346457
turkish,chinese,1000,0.74243245032714,0.008403361344538
portuguese,chinese,1000,0.873639495732519,0.398921832884097
latvian,chinese,1000,0.629616820222065,0
italian,chinese,1000,0.873639495732519,0.398921832884097
greek,chinese,1000,0.74243245032714,0.008403361344538
german,chinese,1000,0.74243245032714,0.008403361344538
estonian,chinese,1000,0.629616820222065,0
danish,chinese,1000,0.74243245032714,0.008403361344538
albanian,chinese,1000,0.74243245032714,0.008403361344538
arabic,chinese,1000,0.741198645453965,0
english,chinese,1000,0.873639495732519,0.398921832884097
russian,chinese,1000,0.816579524371732,0.469135802469136
